pais,anio,candidato,id_candidato,Ano_nacim,Edad_contienda,Genero,Municipio,Entidad,activo,Partido,Coalición,votos,exito,estrategia,Presidencia (13),Vicepresidencia (12),Secretaría o ministerios (11),Gobernador (10),Militar (9),Ministro de la Suprema Corte o Juez (8),Legislatura (7),Alcalde (6),Partidos Políticos (5),Empresas (4),Sindicatos o sociedad civil (3),Organizaciones religiosas (2),Movimientos revolucionarios o armados (1),presidencia,vicepresidencia,ministerio,gobernatura,ejercito,corte_suprema,legislatura,alcaldia,partido_politico,empresas,soc_civil,mov_rev,org_relig,kb,intra,para,sub,exa,ana,
MEX,2024,Enrique de la Madrid Cordero,EDelaMadrid,1962,62,hombre,Ciudad de México,Ciudad de México,no,PRI,FAM,0,,Recupera,hijo del expresidente Miguel de la Madrid,,"2015-18, Secretario de Turismo de Enrique Peña, 2012, Director General del Banco de Comercio Exterior, 2006 Director General de Financiera Rural con Felipe Calderón",,,,2000 diputado federal,,,Presidente Ejecutivo del Consejo Mexicano de la Industria de Productos de Consumo (ConMéxico) y Director de Relaciones Institucionales y Comunicación Corporativa de HSBC para México y América Latina,,,,0,0,308,0,0,0,49,0,0,76,0,0,0,433,308,49,0,76,0,
MEX,2024,José Ángel Gurría Treviño,JAGurria,,2024,hombre,,,no,PRI,FAM,0,,Recupera,,,"1998-2000 Secretario de Hacienda, 1994-98 Secretario de Relaciones Exteriores de Ernesto Zedillo, 1993 Director Genral de Financiera Rural, 1992, Director de Bancomext",,,,,,,"2006-2021 Secretario General de la OCDE, miembro del Consejo Externo de Asesores del Banco Interamericano de Desarrollo y es miembro permanente del Consejo Mexicano para el Desarrollo Económico y Social.",,,,0,0,418,0,0,0,0,0,0,160,0,0,0,578,418,0,0,160,0,
MEX,2024,Omar Fayad,OFayad,,2024,hombre,,,no,PRI,FAM,0,,Recupera,,,administrador general de Aduanas de la SHCP (1999-2000),,"2016-22, Gobernador de Hidalgo, secretario de Educación Pública de Hidalgo (1994-1996); procurador general de Justicia de Hidalgo (1996-1998), secretario de Agricultura en Hidalgo (2003-2005); Secretario de Desarrollo Social de Hidalgo (2005-2006)",,,"2000,2009,2012, diputado federal por Hidalgo","2006-09, presidente municipal de Pachuica",Presidente del Comité Directivo Estatal del PRI en Hidalgo (2010-2012),,,,,0,0,77,460,0,0,168,60,40,0,0,0,0,805,77,628,100,0,0
MEX,2024,Miguel Ángel Osorio Chong,MAOsorioC,,2024,hombre,,,no,PRI,FAM,0,,Recupera,,,"2012-18, Secretario de Gobernación de Enrique Peña","2005-11, Gobernador de Hidalgo, 2009 Secretario de Gobierno de Hidalgo, Secretario de Desarrollo Social de Miguel Angel nuñez",,,"2018, Senador, 2003 diputado federal por hidalgo",1991 oficial mayor de Pachuca,presidente del comité diretuivo estadal del PRI en Pachuca,,,,,0,0,110,370,0,0,112,54,40,0,0,0,0,686,110,482,94,0,0,
MEX,2024,Mauricio Vila Dosal,MVila,,2024,hombre,,,no,PAN,FAM,0,,Recupera,,,,"2018, Gobernador de Yucatan",,,"2012-15, diptuado local en Yucatan","2015-18, Presidente Municipal de Mérica",,Tienen negocios de Freeway en el sector restarantero en Campeche Tabasco y chiapas,,,,0,0,0,100,0,0,56,60,0,120,0,0,0,336,0,156,60,120,0,
MEX,2024,Lili Tellez,LTellez,1967,57,mujer,Hermosillo,Sonora,no,PAN,FAM,0,,Recupera,,,,,,,2018 Senadora por Sonora,,,,,,,0,0,0,0,0,0,56,0,0,0,0,0,0,56,0,56,0,0,0,
MEX,2024,Gabriel Quadri de la Torre,Gquadri,,2024,hombre,,,no,PAN,FAM,0,,Recupera,,,"1994-97, Presidente del Instituto Nacional de Ecología dependiente de la SEDESOL",,,,,,candidato por el PANAL para presidente,"1998-03, Director general del CEESP del CCE, 2006-10 Direcotr de Ecosecuriities Mexico, Director del SIEGA Carbń.",,,,0,0,77,0,0,0,0,0,45,120,0,0,0,242,77,0,45,120,0,
MEX,2024,María Eugenia Campos Galván ,MCampos,,2024,mujer,,,no,PAN,FAM,0,,Recupera,,,"2010, delegada de Liconsa en Chihuahua ","2021, Gobernadora de Chihuahua ",,,"2009, diputada federal, 2013 diputada local de Chihuahua ","2016, 2018 x2, Presidente Municipal de Chihuahua ",secretaria estatal de Acción Juvenil en el PAN,,,,,0,0,77,100,0,0,105,120,30,0,0,0,0,432,77,205,150,0,0,
MEX,2024,Francisco Garcia Cabeza de Vaca,FGarciaC,,2024,hombre,,,no,PAN,FAM,0,,Recupera,,,,"2016-22, Gobernador de Tamaulipas",,,"2012, Senador por Tamaullipas, 2008 diputado local en Tamaulipas, 2000 diputado federal por Tamaulipas","2005-07, Presidente Municipal de Reynosa","2000, coordinador zona norte de Amigos de Fox",Dueño de productos Chamoyada SA de CV (alimentos),,,,0,0,0,100,0,0,161,60,25,40,0,0,0,386,0,261,85,40,0,
MEX,2024,Miguel Ángel Mancera,MAMancera,1966,58,hombre,Ciudad de México,Ciudad de México,no,PRD,FAM,0,,Alterna,,,,"2012, Jefe de Gobierno de la CDMX, 2006, Procurador de Justicia de la CDMX",,,"2018, Senador y coordinador de Senadores del PRD",,,,,,,0,0,0,190,0,0,119,0,0,0,0,0,0,309,0,309,0,0,0,
MEX,2024,Silvano Aureóles,SAurioles,,2024,hombre,,,no,PRD,FAM,0,,Alterna,,,,"2015-21, Gobernador de Michoacán",,,"2012, diputado federal por Michoacán y en 2014 Presidente de la Cámara de Diputados, 2009 Senador por Michoacán","2002-04, Presidente Municipal de Zitácuaro",Miembro fundador del PRD,,,,,0,0,0,100,0,0,182,60,40,0,0,0,0,382,0,282,100,0,0,
MEX,2024,Samuel García,SGarcia,1987,37,hombre,Monterrey,Nuevo León,no,MC,MC,0,,Alterna,,,,"2021, Gobernador de Nuevo León",,,"2018-2020, Senador por Nuevo León, 2015-18, Diputado local en Nuevo León",,"2017-19, Coordinador de Movimiento Ciudadano en Nuevo León","socio director de la firmas García Mascorro Abogados, S.C. y socio fundador de los despachos Firma Jurídica y Fiscal, S.C. y Firma Contable y Fiscal, S.C.",,,,0,0,0,100,0,0,105,0,40,120,0,0,0,365,0,205,40,120,0,
MEX,2024,Demetrio Sodi,DSodi,,2024,hombre,,,no,Sin partido,FAM,0,,Alterna,,,,,,,"2000-06, Senador por la CDMX, 1997-2000 Diputado federal por la CDMX (PRD), 1991-94, Representante local congreso CDMX, 1988-1991, Diputado Federal por CDMX (PRI)","2009-12, Jefe Delegacional de Miguel Hidalgo en CDMX (PAN)",,,Presidente de la Organización Civil Metrópoli 2025,,,0,0,0,0,0,0,217,60,0,0,30,0,0,307,0,217,60,30,0,
MEX,2024,Gustavo de Hoyos,GHoyos,,2024,hombre,,,no,PAN,FAM,0,,Recupera,,,"Consejero en el Instituto Nacional del Emprendedor, integrante de los Consejos de Administración del Instituto del Fondo Nacional de la Vivienda de los Trabajadores, de Nacional Financiera, S.N.C., del Banco Nacional de Comercio Exterior, S.N.C. y del Instituto Infonacot.",,,,,,,"1997 director general del despacho De Hoyos y Avilés, 2003-04, Presidente del Consejo Coordinador Empresarial en Mexicali, Formó parte de la Comisión Ejecutiva del Consejo Coordinador Empresarial entre 2016 y 2020, y en el marco de la revisión del TLCAN, participó en Consejo Consultivo para Negociaciones Comerciales Internacionales. 1.- Sistemas Logísticos de México, S.A. de C.V. (Diseño y comercialización de sistemas de almacenaje de alta densidad y automatización.)

2.- Inversiones Deneb, SAPI de C.V. (Tenencia de capital de empresas del sector comercio y servicios.) 

3.- Servicios Corporativos Antares, S.A. de C.V. (Administración y comercialización de activos crediticios y financieros.)

4.- Servicios Profesionales Karthian, S.C. (Servicios de consultoría y promoción de negocios.) 2015, presidente de COPARMEX, 2013-2015 Secretario General de Confederación Patronal de la República Mexicana","Fue fundador y el primer Presidente de la Fundación UABC, A.C. Se han implementado programas como ""ALAS, Oportunidades para Volar"" y ""Brindando Acceso""​. Fungió como Presidente y forma parte del Patronato de la Universidad Autónoma de Baja California. Vice Presidente del Consejo Directivo (Mexicali, 2002-2012) del Comité de Vinculación Escuela-Empresa de Mexicali, A.C.",,,0,0,473,0,0,0,0,0,0,348,87,0,0,908,473,0,0,435,0,
MEX,2024,Xochitl Galvez,XGalvez,1963,61,mujer,Tepatepec,Hidalgo,si,PAN,FAM,0,,Recupera,,,"2000-06, Presidente de la Comisión Nacional para el Desarrollo de los Pueblos Indígenas",,,,"2018-2024, Senadora","2015-2018, Alcaldesa Miguel Hidalgo, CDMX",,"directora y fundadora de la empresa High Tec Services y OMEI, Directora de Teleinformatica del Wordl TRade Center",Fundadora de la Asociación Civil Porvenir para niños de escasos recursos,,,0,0,77,0,0,0,56,60,0,76,30,0,0,299,77,56,60,106,0,
MEX,2024,José Eduardo Verástegui,JEVerastegui,1974,50,hombre,Xicoténcatl,Tamaulipas,no,Sin partido,Independiente,0,,Alterna,,,,,,,,,,fundador de la empresa productora Metanoia Films,"2007, fundador de la AC Manto de Guadalupe y de la ONG Seamos Héroes ",Dirigente del Movimiento Católico Viva Mexico,,0,0,0,0,0,0,0,0,0,40,60,0,0,100,0,0,0,100,0,
MEX,2024,Ignacio Loyola Vera,ILoyola,,2024,hombre,,,no,PAN,FAM,0,,Recupera,,,"2005-2007, Procurador Federal de Protección al medio Ambiente de Fox y Calderón","1997-2003, Gobernador de Querétaro",,,"2021, diputado federal por Querétaro",,,Dirigente de la COPARMEX en Querétaro y dueño de empresas en el ramo de la agronomia,,,,0,0,88,100,0,0,56,0,0,120,0,0,0,364,88,156,0,120,0,
MEX,2024,Rafael Acosta Ángeles,RAcosta,1960,64,hombre,Iztapalapa,Ciudad de México,no,Sin partido,FAM,0,,Alterna,,,,,,,,"2009, Jefe delegacional en Iztapalapa",Militó en PT y Fuerza por México,,,,,0,0,0,0,0,0,0,60,0,0,0,0,0,60,0,0,60,0,0,
MEX,2024,David Trejo García,DTrejo,,2024,hombre,,,no,Sin partido,FAM,0,,Alterna,,,,,,,,,,,Representante de los pueblos indígenas del Valle de México,,,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,30,0,
MEX,2024,César Augusto Reyes Ortega,CAReyes,,2024,hombre,,,no,PRI,FAM,0,,Recupera,,,,,,,"2015, Diputado local suplente de la ALDF de Marco Antonio García Ayala",,,,Integrante de la comunidad LGBT,,,0,0,0,0,0,0,49,0,0,0,0,0,0,49,0,49,0,0,0,
MEX,2024,Francisco Juárez Piña,FJuarezP,,2024,hombre,,,no,PRD,FAM,0,,Alterna,,,,,,,,2018-2021Regidor en el Mpio de Tlaquepaque Jalisco,hermana de la exdiputada del PRD Verónica Juarez Piña,,,,,0,0,0,0,0,0,0,48,0,0,0,0,0,48,0,0,48,0,0,
MEX,2024,Israel Rivas Bastida,IRivasB,,2024,hombre,,,no,Sin partido,FAM,0,,Alterna,,,,,,,,,,"Gerente y rpresentante de Veritas Medios Global AC, un medio con ideología católica que obtuvo una concesión del Instituto Federal de Telecomunicaciones (IFT) para usar una frecuencia radiofónica en San Cristóbal de las Casas, Chiapas, en el año 2012.",vocero del Movimiento Nacional por la Salud Papás de Niños con Cáncer A.,,,0,0,0,0,0,0,0,0,0,40,30,0,0,70,0,0,0,70,0,
MEX,2024,Víctor Hugo Gutiérrez Yáñez,HVGutierrez,,2024,hombre,,,no,PAN,FAM,0,,Recupera,,,,,,,"Fiputado lo cal en la Samablea Legislativa del DF por el PAN, ",,"Militó en el PAN, convergencia",,"integreante Movimiento Social 2024, titular de la Comisión Iberoamericana de Derechos Humanos para el Desarrollo de las Américas de la Organización de los Estados Americanos (OEA)",,,0,0,0,0,0,0,49,0,0,0,24,0,0,73,0,49,0,24,0,
MEX,2024,Sergio Iván Torres,SITorres,,2024,hombre,,,no,Sin partido,FAM,0,,Alterna,,,,,policía federal,,,"Secretario de Seguridad P+ública de Cholula, Puebla",,,"tener el apoyo de la Red Nacional de Asociaciones Políticas, así como del Movimiento Nacional por la Seguridad y Procuración de Justicia (Monseju), presidente de la Red Nacional de Asociaciones Policiales.",,,0,0,0,0,45,0,0,54,0,0,30,0,0,129,0,45,54,30,0,
MEX,2024,Ricardo Urbano Barrón,RUrbano,,2024,hombre,,,no,Sin partido,FAM,0,,Alterna,,,,,,,,,,consultor senior en Sr. In Strategic Busines Partner de México,,,,0,0,0,0,0,0,0,0,0,36,0,0,0,36,0,0,0,36,0,
MEX,2024,Jorge Luis Preciado,JLPreciado,,2024,hombre,,,no,PAN,FAM,0,,Recupera,,,,,,,"Senador x2 por colima, Diputado federal x2, Diputado local del Congreso de Colima",,"Dirigente del Frente Juvenil Reolucionario del PRI, en 1996 se cambió al PAN como presidente del partido en colima",,,,,0,0,0,0,0,0,322,0,80,0,0,0,0,402,0,322,80,0,0,
MEX,2024,Adriana Delarbre López,ADelarbre,,2024,mujer,,,no,Sin partido,FAM,0,,Alterna,,,,,,,,,,Estandorpera y stripper virtual,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,
MEX,2024,Jaime Duarte Martínez,JDuarteM,,2024,hombre,,,no,Sin partido,FAM,0,,Alterna,,,,,,,,,,"onsultor en Imagen, Marca Personal y Comunicación Corporativa y Política en Percepción Estratégica","Director de la organización cívica Héroes Hoy, A.C, Director del Centro de Investigaciones sobre la Nueva Era (CISNE)","Director de la Escuela Internacional de Líderes Católicos, Movimiento Social Católico ¡Viva Cristo Rey!",,0,0,0,0,0,0,0,0,0,32,60,0,20,112,0,0,0,92,20,
MEX,2024,Jaime Enriquez Felix,JEnriquezF,,2024,hombre,,,no,Sin partido,FAM,0,,Alterna,,,,,,,y Diputado Federal en la LIV Legislatura.,,"Frente Democrático Nacional en 1987 Además, destacó como Fundador y Miembro del primer Consejo Nacional del PRD en el que fue Miembro del Primer Comité Ejecutivo Nacional que preside Cuauhtémoc Cárdenas.","editorialista en El Universal, Revista Impacto, Excélsior, El Economista, UNO más UNO, rector del Instituto de Graduados de Administración",,,,0,0,0,0,0,0,56,0,90,88,0,0,0,234,0,56,90,88,0,
MEX,2024,José Enriquez González,JEnriquezG,,2024,hombre,,,no,Sin partido,FAM,0,,Alterna,,,,,,,,,,"Tiene una empresa que se dedica a Capital Humano, Asesoría jurídica laboral, Servicios Jurídicos, Pruebas psicométricas y venta de franquicia",,,,0,0,0,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,
MEX,2024,Felipe de Jesús Puch,FJPuch,,2024,hombre,,,no,Sin partido,FAM,0,,Alterna,,,,,,,,,,,dirigente de Centro Mexicano de Comercio e Inversión A.C. (CENMEXCI AC) y el Consejo Ciudadanos y Civil de la Ciudad de México,,,0,0,0,0,0,0,0,0,0,0,60,0,0,60,0,0,0,60,0,
MEX,2024,Mario Facundo Palacios,MFPalacios,,2024,hombre,,,no,PAN,FAM,0,,Alterna,,,,Representante de la secretaria de desarrollo rural y cercano al gobernador Rafael Moreno Valle,,,,,,,,,,0,0,0,50,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,
MEX,2024,Adriana Rangel Flores,ARangelF,,2024,mujer,,,no,PRI,FAM,0,,Alterna,,,,,,,,,"Candidata a una diputación local de CDMX del PRI, suplente de Helena Morales Buscaron Soteno, ex dirigente del Frente Juvenil Revolucionario y cercana a Alejandro Moreno presdiente del PRI",,,,,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,25,0,0,
MEX,2024,Manuel Velazco Coello,MVelazcoC,1980,44,hombre,Tuxtla Gutiérrez,Chiapas,no,PVEM,Morena,0,,Mantiene,,,,"2012, 2018(x2), Gobernador de Chiapas. Es nieto del ex gobernador de Chiapas Manuel Velasco Suárez",,,"2018, 2006 Senador por Chiapas, 2003 Diputado , 2001, Diputado del Congreso Local de Chiapas",,,,,,,0,0,0,220,0,0,217,0,0,0,0,0,0,437,0,437,0,0,0,
MEX,2024,Jorge Álvarez Maynez,JalvarezM,1985,39,mujer,Zacatecas,Zacatecas,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
